Date-Time (EST),Temperature_Sensor1 2025-03-08 10_53_43 EST (Data EST),Temperature_Sensor2 2025-03-08 11_36_27 EST (Data EST),Temperature_Sensor3 2025-03-08 12_57_01 EST (Data EST),Temperature_Sensor4 2025-03-08 13_24_43 EST (Data EST),Temperature_Sensor5 2025-03-08 10_27_43 EST (Data EST)
2/9/2025 21:20,9.82,11.45,16.34,15.18,9.69
2/9/2025 21:22,9.82,11.45,16.3,15.18,9.69
2/9/2025 21:24,9.78,11.41,16.34,15.18,9.65
2/9/2025 21:26,9.82,11.45,16.34,15.18,9.56
2/9/2025 21:28,9.82,11.45,16.34,15.18,9.52
2/9/2025 21:30,9.78,11.45,16.3,15.18,9.52
2/9/2025 21:32,9.78,11.41,16.3,15.18,9.48
2/9/2025 21:34,9.82,11.45,16.39,15.18,9.48
2/9/2025 21:36,9.78,11.41,16.34,15.18,9.44
2/9/2025 21:38,9.78,11.41,16.3,15.18,9.48
2/9/2025 21:40,9.82,11.45,16.34,15.18,9.48
2/9/2025 21:42,9.82,11.41,16.3,15.18,9.39
2/9/2025 21:44,9.82,11.45,16.3,15.18,9.39
2/9/2025 21:46,9.78,11.41,16.34,15.18,9.39
2/9/2025 21:48,9.78,11.41,16.3,15.18,9.44
2/9/2025 21:50,9.78,11.45,16.34,15.18,9.39
2/9/2025 21:52,9.78,11.45,16.3,15.18,9.44
2/9/2025 21:54,9.78,11.41,16.3,15.18,9.44
2/9/2025 21:56,9.74,11.41,16.3,15.18,9.44
2/9/2025 21:58,9.78,11.45,16.34,15.18,9.39
2/9/2025 22:00,9.78,11.41,16.3,15.18,9.44
2/9/2025 22:02,9.78,11.45,16.34,15.18,9.48
2/9/2025 22:04,9.78,11.41,16.34,15.18,9.48
2/9/2025 22:06,9.78,11.41,16.34,15.16,9.44
2/9/2025 22:08,9.74,11.41,16.3,15.14,9.52
2/9/2025 22:10,9.78,11.37,16.3,15.12,9.48
2/9/2025 22:12,9.82,11.41,16.3,15.1,9.48
2/9/2025 22:14,9.78,11.41,16.39,15.14,9.39
2/9/2025 22:16,9.78,11.45,16.34,15.16,9.48
2/9/2025 22:18,9.74,11.41,16.3,15.18,9.48
2/9/2025 22:20,9.74,11.41,16.34,15.14,9.44
2/9/2025 22:22,9.74,11.41,16.34,15.14,9.48
2/9/2025 22:24,9.74,11.41,16.39,15.18,9.48
2/9/2025 22:26,9.82,11.45,16.34,15.16,9.56
2/9/2025 22:28,9.78,11.41,16.3,15.14,9.48
2/9/2025 22:30,9.74,11.41,16.3,15.18,9.39
2/9/2025 22:32,9.74,11.41,16.34,15.14,9.39
2/9/2025 22:34,9.78,11.45,16.34,15.14,9.35
2/9/2025 22:36,9.74,11.45,16.3,15.18,9.44
2/9/2025 22:38,9.74,11.41,16.34,15.18,9.39
2/9/2025 22:40,9.74,11.37,16.34,15.18,9.39
2/9/2025 22:42,9.78,11.41,16.3,15.18,9.39
2/9/2025 22:44,9.74,11.37,16.34,15.18,9.39
2/9/2025 22:46,9.74,11.41,16.34,15.18,9.44
2/9/2025 22:48,9.78,11.41,16.3,15.18,9.44
2/9/2025 22:50,9.74,11.41,16.3,15.18,9.44
2/9/2025 22:52,9.74,11.41,16.34,15.14,9.44
2/9/2025 22:54,9.78,11.41,16.34,15.16,9.39
2/9/2025 22:56,9.76,11.37,16.3,15.18,9.39
2/9/2025 22:58,9.74,11.37,16.34,15.18,9.39
2/9/2025 23:00,9.69,11.45,16.34,15.18,9.35
2/9/2025 23:02,9.74,11.45,16.3,15.14,9.44
2/9/2025 23:04,9.69,11.37,16.34,15.14,9.44
2/9/2025 23:06,9.69,11.41,16.3,15.18,9.39
2/9/2025 23:08,9.69,11.41,16.3,15.18,9.44
2/9/2025 23:10,9.69,11.41,16.34,15.18,9.35
2/9/2025 23:12,9.69,11.37,16.3,15.18,9.35
2/9/2025 23:14,9.65,11.45,16.3,15.18,9.35
2/9/2025 23:16,9.74,11.41,16.34,15.16666667,9.39
2/9/2025 23:18,9.69,11.41,16.34,15.15333333,9.39
2/9/2025 23:20,9.78,11.41,16.34,15.14,9.44
2/9/2025 23:22,9.69,11.41,16.3,15.18,9.44
2/9/2025 23:24,9.74,11.45,16.3,15.18,9.39
2/9/2025 23:26,9.69,11.41,16.26,15.18,9.39
2/9/2025 23:28,9.69,11.41,16.34,15.18,9.39
2/9/2025 23:30,9.74,11.45,16.34,15.18,9.39
2/9/2025 23:32,9.69,11.37,16.34,15.18,9.35
2/9/2025 23:34,9.74,11.41,16.3,15.18,9.31
2/9/2025 23:36,9.69,11.37,16.3,15.18,9.31
2/9/2025 23:38,9.69,11.37,16.3,15.18,9.31
2/9/2025 23:40,9.69,11.41,16.3,15.18,9.22
2/9/2025 23:42,9.65,11.41,16.34,15.18,9.31
2/9/2025 23:44,9.69,11.37,16.3,15.18,9.31
2/9/2025 23:46,9.74,11.37,16.3,15.18,9.22
2/9/2025 23:48,9.69,11.41,16.3,15.18,9.26
2/9/2025 23:50,9.69,11.41,16.3,15.18,9.26
2/9/2025 23:52,9.69,11.41,16.34,15.18,9.26
2/9/2025 23:54,9.69,11.37,16.3,15.18,9.22
2/9/2025 23:56,9.69,11.41,16.3,15.18,9.26
2/9/2025 23:58,9.69,11.41,16.3,15.18,9.26
2/10/2025 0:00,9.65,11.41,16.34,15.18,9.26
2/10/2025 0:02,9.69,11.41,16.3,15.14,9.22
2/10/2025 0:04,9.65,11.41,16.34,15.14,9.26
2/10/2025 0:06,9.69,11.41,16.34,15.14,9.22
2/10/2025 0:08,9.69,11.37,16.3,15.18,9.18
2/10/2025 0:10,9.69,11.41,16.34,15.18,9.18
2/10/2025 0:12,9.65,11.41,16.34,15.18,9.14
2/10/2025 0:14,9.69,11.41,16.34,15.18,9.14
2/10/2025 0:16,9.65,11.41,16.34,15.14,9.14
2/10/2025 0:18,9.69,11.41,16.34,15.18,9.14
2/10/2025 0:20,9.65,11.41,16.34,15.18,9.14
2/10/2025 0:22,9.65,11.37,16.34,15.18,9.22
2/10/2025 0:24,9.65,11.37,16.34,15.18,9.22
2/10/2025 0:26,9.69,11.37,16.3,15.18,9.26
2/10/2025 0:28,9.65,11.41,16.34,15.18,9.26
2/10/2025 0:30,9.65,11.37,16.34,15.18,9.26
2/10/2025 0:32,9.65,11.37,16.3,15.18,9.26
2/10/2025 0:34,9.65,11.41,16.3,15.18,9.31
2/10/2025 0:36,9.69,11.41,16.3,15.18,9.31
2/10/2025 0:38,9.69,11.41,16.3,15.18,9.22
2/10/2025 0:40,9.65,11.37,16.34,15.14,9.31
2/10/2025 0:42,9.69,11.37,16.39,15.14,9.35
2/10/2025 0:44,9.65,11.37,16.365,15.18,9.26
2/10/2025 0:46,9.69,11.41,16.34,15.18,9.22
2/10/2025 0:48,9.65,11.41,16.3,15.18,9.18
2/10/2025 0:50,9.69,11.41,16.3,15.18,9.22
2/10/2025 0:52,9.69,11.37,16.3,15.18,9.18
2/10/2025 0:54,9.65,11.41,16.3,15.18,9.14
2/10/2025 0:56,9.65,11.37,16.3,15.18,9.14
2/10/2025 0:58,9.65,11.37,16.34,15.18,9.09
2/10/2025 1:00,9.65,11.41,16.26,15.18,9.09
2/10/2025 1:02,9.65,11.37,16.3,15.18,9.09
2/10/2025 1:04,9.65,11.41,16.34,15.18,9.09
2/10/2025 1:06,9.65,11.37,16.3,15.18,9.09
2/10/2025 1:08,9.61,11.37,16.3,15.18,9.09
2/10/2025 1:10,9.65,11.41,16.34,15.14,9.01
2/10/2025 1:12,9.65,11.41,16.3,15.18,9.09
2/10/2025 1:14,9.65,11.39,16.31333333,15.14,9.09
2/10/2025 1:16,9.65,11.37,16.32666667,15.18,9.05
2/10/2025 1:18,9.61,11.37,16.34,15.14,9.05
2/10/2025 1:20,9.61,11.37,16.34,15.18,9.05
2/10/2025 1:22,9.65,11.41,16.26,15.18,9.09
2/10/2025 1:24,9.61,11.41,16.3,15.18,9.14
2/10/2025 1:26,9.61,11.37,16.34,15.18,9.05
2/10/2025 1:28,9.61,11.37,16.3,15.18,9.05
2/10/2025 1:30,9.61,11.41,16.3,15.14,9.05
2/10/2025 1:32,9.61,11.41,16.3,15.18,9.05
2/10/2025 1:34,9.61,11.37,16.34,15.18,9.01
2/10/2025 1:36,9.52,11.37,16.3,15.18,9.01
2/10/2025 1:38,9.61,11.37,16.26,15.18,9.05
